row_id,serial_no,status,temp,accel_x,accel_y,air_gas
0,LASER-HARDWARE-01,RUNNING,23.17,-0.647,-0.158,0.82
1,LASER-HARDWARE-01,RUNNING,24.25,0.268,-0.002,0.75
2,LASER-HARDWARE-01,RUNNING,24.4,0.675,0.238,0.8
3,LASER-HARDWARE-01,RUNNING,23.94,0.475,0.203,0.8
4,LASER-HARDWARE-01,RUNNING,23.64,-0.457,0.422,0.72
5,LASER-HARDWARE-01,RUNNING,23.07,0.262,-0.721,0.82
6,LASER-HARDWARE-01,RUNNING,27.17,-0.342,-0.092,0.83
7,LASER-HARDWARE-01,RUNNING,23.35,-0.367,-0.009,0.81
8,LASER-HARDWARE-01,RUNNING,24.93,-0.092,-0.119,0.89
9,LASER-HARDWARE-01,RUNNING,25.35,0.175,0.453,0.73
10,LASER-HARDWARE-01,RUNNING,22.01,0.431,0.256,0.79
11,LASER-HARDWARE-01,FAULT,27.58,0.064,-0.54,0.29
12,LASER-HARDWARE-01,RUNNING,24.98,0.302,0.354,0.79
13,LASER-HARDWARE-01,RUNNING,24.87,0.269,0.561,0.88
14,LASER-HARDWARE-01,RUNNING,24.03,-0.178,0.602,0.89
15,LASER-HARDWARE-01,RUNNING,23.65,0.439,0.287,0.73
16,LASER-HARDWARE-01,RUNNING,26.13,-0.135,1.075,0.81
17,LASER-HARDWARE-01,RUNNING,24.95,-0.434,0.062,0.79
18,LASER-HARDWARE-01,RUNNING,27.4,-0.156,-0.085,0.9
19,LASER-HARDWARE-01,RUNNING,22.88,0.057,-0.202,0.83
20,LASER-HARDWARE-01,RUNNING,24.4,0.086,-0.06,0.82
21,LASER-HARDWARE-01,RUNNING,26.33,-0.102,0.168,0.83
22,LASER-HARDWARE-01,RUNNING,25.06,-0.616,0.028,0.83
23,LASER-HARDWARE-01,RUNNING,24.46,-0.081,-0.379,0.81
24,LASER-HARDWARE-01,RUNNING,25.24,-0.04,0.584,0.86
25,LASER-HARDWARE-01,RUNNING,22.37,0.273,0.956,0.86
26,LASER-HARDWARE-01,RUNNING,26.3,-0.507,0.74,0.81
27,LASER-HARDWARE-01,RUNNING,22.75,0.472,0.243,0.77
28,LASER-HARDWARE-01,RUNNING,24.29,0.359,-0.099,0.78
29,LASER-HARDWARE-01,RUNNING,27.89,0.247,0.215,0.84
30,LASER-HARDWARE-01,RUNNING,21.38,0.619,-0.16,0.73
31,LASER-HARDWARE-01,FAULT,24.25,0.101,0.919,0.33
32,LASER-HARDWARE-01,RUNNING,26.0,0.236,0.011,0.75
33,LASER-HARDWARE-01,RUNNING,25.29,-0.4,0.331,0.84
34,LASER-HARDWARE-01,RUNNING,24.59,-0.397,-0.453,0.78
35,LASER-HARDWARE-01,RUNNING,22.81,-0.179,0.479,0.76
36,LASER-HARDWARE-01,FAULT,25.18,-1.201,-3.14,0.72
37,LASER-HARDWARE-01,RUNNING,22.38,-0.12,0.094,0.76
38,LASER-HARDWARE-01,RUNNING,22.85,0.083,0.125,0.77
39,LASER-HARDWARE-01,RUNNING,23.2,0.311,-0.395,0.72
40,LASER-HARDWARE-01,RUNNING,23.51,0.388,-0.055,0.88
41,LASER-HARDWARE-01,FAULT,57.44,-0.138,0.229,0.83
42,LASER-HARDWARE-01,RUNNING,23.43,-0.21,-0.486,0.79
43,LASER-HARDWARE-01,RUNNING,22.39,-0.854,-0.127,0.78
44,LASER-HARDWARE-01,RUNNING,26.03,-0.105,-0.42,0.86
45,LASER-HARDWARE-01,RUNNING,22.19,-0.173,-0.332,0.79
46,LASER-HARDWARE-01,RUNNING,25.53,-0.388,-0.066,0.8
47,LASER-HARDWARE-01,RUNNING,27.75,-0.275,-0.167,0.73
48,LASER-HARDWARE-01,RUNNING,25.9,-0.155,-0.395,0.88
49,LASER-HARDWARE-01,RUNNING,25.09,-0.249,-0.203,0.72
50,LASER-HARDWARE-01,RUNNING,26.35,-0.43,-0.285,0.79
51,LASER-HARDWARE-01,RUNNING,24.64,0.081,0.61,0.74
52,LASER-HARDWARE-01,RUNNING,22.92,0.087,0.706,0.72
53,LASER-HARDWARE-01,RUNNING,24.8,0.125,-0.447,0.8
54,LASER-HARDWARE-01,RUNNING,23.9,0.48,0.265,0.82
55,LASER-HARDWARE-01,RUNNING,25.66,0.468,0.402,0.79
56,LASER-HARDWARE-01,RUNNING,28.71,0.135,-0.143,0.8
57,LASER-HARDWARE-01,RUNNING,25.27,-0.279,-0.181,0.8
58,LASER-HARDWARE-01,RUNNING,27.16,-0.154,0.602,0.89
59,LASER-HARDWARE-01,RUNNING,27.28,0.77,0.146,0.77
60,LASER-HARDWARE-01,RUNNING,26.22,-0.036,0.555,0.82
61,LASER-HARDWARE-01,RUNNING,30.72,0.238,0.001,0.8
62,LASER-HARDWARE-01,RUNNING,26.33,-0.018,-0.11,0.8
63,LASER-HARDWARE-01,RUNNING,26.57,0.542,-0.254,0.77
64,LASER-HARDWARE-01,RUNNING,26.6,-0.215,0.525,0.77
65,LASER-HARDWARE-01,RUNNING,22.75,-0.289,-0.195,0.79
66,LASER-HARDWARE-01,RUNNING,22.49,-0.044,0.136,0.87
67,LASER-HARDWARE-01,RUNNING,23.72,-0.093,0.226,0.82
68,LASER-HARDWARE-01,RUNNING,23.72,0.718,-0.263,0.76
69,LASER-HARDWARE-01,RUNNING,23.16,-0.118,0.347,0.82
70,LASER-HARDWARE-01,RUNNING,23.4,0.752,-0.42,0.85
71,LASER-HARDWARE-01,RUNNING,21.82,-0.196,0.232,0.9
72,LASER-HARDWARE-01,RUNNING,27.42,-0.328,-0.197,0.81
73,LASER-HARDWARE-01,RUNNING,25.74,-0.792,-0.681,0.78
74,LASER-HARDWARE-01,RUNNING,26.98,-0.082,-0.216,0.83
75,LASER-HARDWARE-01,RUNNING,26.03,-0.748,-0.203,0.76
76,LASER-HARDWARE-01,RUNNING,27.3,0.292,0.17,0.82
77,LASER-HARDWARE-01,RUNNING,24.03,-0.828,0.28,0.87
78,LASER-HARDWARE-01,RUNNING,24.84,-0.308,0.707,0.9
79,LASER-HARDWARE-01,RUNNING,24.71,-0.351,0.057,0.69
80,LASER-HARDWARE-01,RUNNING,22.73,-0.413,0.332,0.74
81,LASER-HARDWARE-01,RUNNING,27.13,-0.617,-0.593,0.89
82,LASER-HARDWARE-01,RUNNING,22.24,0.151,0.122,0.79
83,LASER-HARDWARE-01,RUNNING,24.11,1.033,0.166,0.79
84,LASER-HARDWARE-01,RUNNING,26.3,-0.602,0.196,0.87
85,LASER-HARDWARE-01,RUNNING,29.25,-0.023,-0.173,0.78
86,LASER-HARDWARE-01,RUNNING,24.96,-0.016,0.229,0.8
87,LASER-HARDWARE-01,RUNNING,24.34,0.003,0.298,0.75
88,LASER-HARDWARE-01,RUNNING,24.61,0.287,0.22,0.87
89,LASER-HARDWARE-01,RUNNING,22.74,-0.213,-0.051,0.85
90,LASER-HARDWARE-01,RUNNING,25.08,-0.133,-0.368,0.8
91,LASER-HARDWARE-01,RUNNING,27.86,0.375,0.12,0.79
92,LASER-HARDWARE-01,RUNNING,25.19,0.204,-0.281,0.85
93,LASER-HARDWARE-01,FAULT,24.4,-0.418,-0.058,0.35
94,LASER-HARDWARE-01,RUNNING,26.18,-0.011,-0.526,0.81
95,LASER-HARDWARE-01,RUNNING,27.94,0.237,0.068,0.86
96,LASER-HARDWARE-01,FAULT,58.82,-0.502,-0.312,0.87
97,LASER-HARDWARE-01,RUNNING,27.22,1.019,-0.318,0.68
98,LASER-HARDWARE-01,RUNNING,25.01,0.198,-0.058,0.71
99,LASER-HARDWARE-01,RUNNING,23.45,-0.094,-0.408,0.72
100,LASER-HARDWARE-01,RUNNING,23.9,0.505,-0.53,0.87
101,LASER-HARDWARE-01,RUNNING,22.93,-0.273,0.065,0.83
102,LASER-HARDWARE-01,RUNNING,25.02,-0.219,0.2,0.8
103,LASER-HARDWARE-01,RUNNING,26.0,-0.314,-0.305,0.86
104,LASER-HARDWARE-01,RUNNING,26.22,0.087,0.305,0.77
105,LASER-HARDWARE-01,RUNNING,27.17,0.138,-0.085,0.79
106,LASER-HARDWARE-01,RUNNING,25.81,0.254,-0.223,0.77
107,LASER-HARDWARE-01,RUNNING,26.64,0.402,0.229,0.86
108,LASER-HARDWARE-01,RUNNING,25.96,0.287,-0.368,0.88
109,LASER-HARDWARE-01,RUNNING,23.25,-0.129,0.029,0.79
110,LASER-HARDWARE-01,RUNNING,25.55,0.434,-0.053,0.89
111,LASER-HARDWARE-01,RUNNING,29.29,0.352,-0.438,0.83
112,LASER-HARDWARE-01,RUNNING,25.48,-0.193,-0.546,0.85
113,LASER-HARDWARE-01,RUNNING,25.9,0.174,-0.124,0.78
114,LASER-HARDWARE-01,RUNNING,23.47,-0.168,-0.53,0.77
115,LASER-HARDWARE-01,RUNNING,26.45,0.205,-0.098,0.76
116,LASER-HARDWARE-01,RUNNING,25.96,0.323,0.638,0.78
117,LASER-HARDWARE-01,FAULT,59.73,-1.069,-0.072,0.83
118,LASER-HARDWARE-01,RUNNING,21.88,-0.272,0.361,0.8
119,LASER-HARDWARE-01,RUNNING,24.85,0.551,0.256,0.81
120,LASER-HARDWARE-01,RUNNING,24.81,-0.223,0.478,0.67
121,LASER-HARDWARE-01,RUNNING,25.26,-0.258,0.355,0.87
122,LASER-HARDWARE-01,RUNNING,28.53,0.471,-0.371,0.83
123,LASER-HARDWARE-01,RUNNING,23.36,0.241,0.074,0.86
124,LASER-HARDWARE-01,RUNNING,25.57,0.043,0.059,0.76
125,LASER-HARDWARE-01,RUNNING,23.26,0.411,-0.161,0.78
126,LASER-HARDWARE-01,RUNNING,27.09,0.376,-0.112,0.75
127,LASER-HARDWARE-01,RUNNING,26.27,0.167,0.525,0.76
128,LASER-HARDWARE-01,RUNNING,24.64,0.513,-0.023,0.84
129,LASER-HARDWARE-01,RUNNING,24.08,-0.295,-0.224,0.86
130,LASER-HARDWARE-01,RUNNING,21.94,0.085,-0.123,0.86
131,LASER-HARDWARE-01,FAULT,50.91,0.329,-0.002,0.82
132,LASER-HARDWARE-01,RUNNING,25.06,0.859,0.419,0.85
133,LASER-HARDWARE-01,RUNNING,25.87,-0.393,-0.2,0.83
134,LASER-HARDWARE-01,RUNNING,24.22,-0.93,0.314,0.81
